epoch,train_loss,val_loss,val_mae,train_residuals,val_residuals
0,,tensor(0.0037),tensor(0.0445),,
0,tensor(1.8198),tensor(0.0125),tensor(0.0729),,
1,tensor(1.8193),tensor(0.0126),tensor(0.0726),,
2,tensor(1.8108),tensor(0.0125),tensor(0.0726),,
3,tensor(1.8124),tensor(0.0125),tensor(0.0752),,
4,tensor(1.8025),tensor(0.0126),tensor(0.0768),,
5,tensor(1.8236),tensor(0.0129),tensor(0.0766),,
6,tensor(1.8146),tensor(0.0129),tensor(0.0766),,
7,tensor(1.8129),tensor(0.0126),tensor(0.0759),,
8,tensor(1.8000),tensor(0.0125),tensor(0.0765),,
9,tensor(1.7924),tensor(0.0125),tensor(0.0764),,
10,tensor(1.7925),tensor(0.0124),tensor(0.0757),,
